,model_power,model_power_max,numMods,numStrings,ref_power,stats,system_scale,trial,mismatch_loss,mismatch_loss_pmax,indices
0,7978.167455430771,7978.180088159877,8,3,7979.055559239332,"{0: {'vmp_p50': 53.98693717546387, 'imp_p50': 6.112439079981878, 'vmp_std': 0.20452374383591787, 'imp_std': 0.014303786520470402}, 1: {'vmp_p50': 53.0809259080734, 'imp_p50': 6.092604932647898, 'vmp_std': 0.4711698159175751, 'imp_std': 0.017792259355563486}, 2: {'vmp_p50': 53.57550924573303, 'imp_p50': 6.12732779622413, 'vmp_std': 0.33332851474055364, 'imp_std': 0.007874314516883913}}",Residential,0,-0.01113043770615996,-0.010972114092386603,"[array([20, 60, 85, 89, 36, 68, 81, 64]), array([80, 24, 42, 89,  3, 65, 12, 77]), array([70,  3, 20, 48, 45, 72, 97, 62])]"
1,7976.898627983044,7976.9099778287,8,3,7977.772119143268,"{0: {'vmp_p50': 53.77581889390203, 'imp_p50': 6.111046585095711, 'vmp_std': 0.289396414231155, 'imp_std': 0.014321044370062277}, 1: {'vmp_p50': 53.62348535777936, 'imp_p50': 6.105447607598866, 'vmp_std': 0.3642262278692484, 'imp_std': 0.018802495090611986}, 2: {'vmp_p50': 53.83275157062105, 'imp_p50': 6.1089457246402254, 'vmp_std': 0.205726859366436, 'imp_std': 0.014704786616194837}}",Residential,1,-0.010949061306578812,-0.010806792945358624,"[array([63, 29, 20, 14, 69, 58, 93, 34]), array([53, 20, 41, 62, 95, 28,  4, 51]), array([55, 75, 67, 46, 50, 22, 61, 91])]"
2,7964.91498849187,7964.923218441094,8,3,7966.264459868785,"{0: {'vmp_p50': 53.385659579155046, 'imp_p50': 6.106093179964134, 'vmp_std': 0.3843446992966899, 'imp_std': 0.037759937493553324}, 1: {'vmp_p50': 53.542084693993786, 'imp_p50': 6.104418147671153, 'vmp_std': 0.27262659013632007, 'imp_std': 0.013542520991388637}, 2: {'vmp_p50': 53.58859469995282, 'imp_p50': 6.108939395868675, 'vmp_std': 0.3582865511489587, 'imp_std': 0.016577592612325512}}",Residential,2,-0.016939826485967424,-0.01683651646825904,"[array([62,  9, 82, 10, 85, 84, 41,  2]), array([55,  5, 39, 21,  4, 26, 18, 25]), array([88, 35, 46, 59, 53, 74, 92, 98])]"
3,7988.604710754581,7988.621529026473,8,3,7989.3942840351,"{0: {'vmp_p50': 53.59312853243864, 'imp_p50': 6.121862701190778, 'vmp_std': 0.2798077391353809, 'imp_std': 0.0094939441589916}, 1: {'vmp_p50': 53.756915350370676, 'imp_p50': 6.130068808828007, 'vmp_std': 0.2612672605337145, 'imp_std': 0.02227186149801533}, 2: {'vmp_p50': 53.963823277285314, 'imp_p50': 6.117746877064281, 'vmp_std': 0.22822308333015542, 'imp_std': 0.011694452080515833}}",Residential,3,-0.009882767734931812,-0.009672260263479478,"[array([ 7, 59, 95, 98, 40, 71, 68, 35]), array([50, 10,  4, 79, 95, 67, 35, 42]), array([87, 50, 83, 92, 52, 97, 24,  8])]"
4,7984.357227854855,7984.377702905382,8,3,7985.504654312986,"{0: {'vmp_p50': 53.78688964508656, 'imp_p50': 6.10842070971138, 'vmp_std': 0.1369230825892641, 'imp_std': 0.01698616491275813}, 1: {'vmp_p50': 54.05431113015103, 'imp_p50': 6.1241701495646215, 'vmp_std': 0.18972892889513598, 'imp_std': 0.009244440834237611}, 2: {'vmp_p50': 53.92025377676295, 'imp_p50': 6.120921336240905, 'vmp_std': 0.2642751158892694, 'imp_std': 0.009758146493454162}}",Residential,4,-0.014368865936487623,-0.014112463224164732,"[array([54, 89, 22, 30, 67, 46, 15, 18]), array([70, 62, 81, 34,  5,  4, 24, 16]), array([63, 54,  7, 78, 92, 11, 42, 66])]"
5,7995.193729725492,7995.212601540819,8,3,7995.579344065057,"{0: {'vmp_p50': 53.768051098835784, 'imp_p50': 6.119010854755766, 'vmp_std': 0.23078973334981578, 'imp_std': 0.010800610521170477}, 1: {'vmp_p50': 53.832594530993916, 'imp_p50': 6.112819090924714, 'vmp_std': 0.24887433221018246, 'imp_std': 0.010629352349372364}, 2: {'vmp_p50': 54.00855707671225, 'imp_p50': 6.117990709660842, 'vmp_std': 0.1918989943577382, 'imp_std': 0.016558036852998944}}",Residential,5,-0.004822844261452322,-0.004586816144969869,"[array([40, 63,  2, 85, 45, 72, 80, 89]), array([93,  6, 48, 59, 89, 86, 99, 64]), array([96, 85, 33, 70, 47, 84, 75, 73])]"
6,7982.240372796553,7982.249763630938,8,3,7983.16000090052,"{0: {'vmp_p50': 53.39405704210094, 'imp_p50': 6.11487337322881, 'vmp_std': 0.3459994281778918, 'imp_std': 0.03225012471773771}, 1: {'vmp_p50': 53.603680396480804, 'imp_p50': 6.139782702797665, 'vmp_std': 0.2904033953080678, 'imp_std': 0.005732922970299979}, 2: {'vmp_p50': 53.62195689562118, 'imp_p50': 6.112195664048286, 'vmp_std': 0.3311793901248244, 'imp_std': 0.016361087286665917}}",Residential,6,-0.011519600056405977,-0.011401967009040035,"[array([82, 52, 68, 58, 63, 47, 65, 97]), array([ 7, 86, 48, 19, 98, 88, 81, 89]), array([77, 64, 65, 62, 75, 16, 58, 53])]"
7,7957.930883850537,7957.9430226389695,8,3,7959.111052518764,"{0: {'vmp_p50': 53.82936387190097, 'imp_p50': 6.130374138101656, 'vmp_std': 0.12422875076024827, 'imp_std': 0.018815751297989063}, 1: {'vmp_p50': 53.60672119087107, 'imp_p50': 6.112340419195615, 'vmp_std': 0.23737904614678415, 'imp_std': 0.02690991045480416}, 2: {'vmp_p50': 53.265460680897576, 'imp_p50': 6.121319773141891, 'vmp_std': 0.3193205319626532, 'imp_std': 0.02210830423655692}}",Residential,7,-0.014827895482799834,-0.014675381108358733,"[array([ 6, 25, 73, 67, 57, 89, 68, 79]), array([96, 71, 75, 64, 80, 27, 79, 40]), array([77, 23, 90, 36, 79, 31, 15, 35])]"
8,7973.153785049702,7973.163511544711,8,3,7974.062674335795,"{0: {'vmp_p50': 53.5659859390785, 'imp_p50': 6.121751992633098, 'vmp_std': 0.36965340400936075, 'imp_std': 0.009868731066714369}, 1: {'vmp_p50': 53.088803644278876, 'imp_p50': 6.092967212881444, 'vmp_std': 0.45285089726070316, 'imp_std': 0.03127318649065227}, 2: {'vmp_p50': 53.9484000145927, 'imp_p50': 6.11095277411824, 'vmp_std': 0.23683826494958649, 'imp_std': 0.011597283146574352}}",Residential,8,-0.01139807050951428,-0.011276093853368916,"[array([91, 74, 24,  3, 40, 83,  8, 93]), array([94, 12,  9, 63, 44,  1, 14, 73]), array([50, 31, 20, 64, 69, 16, 80, 23])]"
9,7974.312120394078,7974.327607567077,8,3,7974.889229802834,"{0: {'vmp_p50': 53.59312853243864, 'imp_p50': 6.112144404238941, 'vmp_std': 0.3573102047794693, 'imp_std': 0.013087039912324993}, 1: {'vmp_p50': 53.723844607408594, 'imp_p50': 6.105561422986341, 'vmp_std': 0.29698973265632506, 'imp_std': 0.0229396484381463}, 2: {'vmp_p50': 53.752068140917956, 'imp_p50': 6.114396389664367, 'vmp_std': 0.318260344510477, 'imp_std': 0.011451225818287303}}",Residential,9,-0.007236582128302835,-0.007042382904302028,"[array([16, 20, 47, 98, 40, 85, 89, 18]), array([33, 70, 10, 41, 80, 88, 52, 91]), array([56, 51, 17, 20, 40, 72, 43, 86])]"
